fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220930 172819	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	804409	0.210451825732947	0.696594926416874	6323	353	8170	25900000	1
20220930 172852	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	804409	0.131137347483542	0.824871151968837	2083	605	8544	25640000	2
20220930 172916	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	804409	0.103292776453134	0.780793855693191	5567	131	9234	26420000	3
20220930 172940	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	804409	0.119391988791409	0.749929404444993	5984	828	8378	25730000	4
20220930 172958	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	16	TRUE	804409	0.24159243451088	0.664122172947973	1394	178	8854	25900000	5
20220930 173023	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	82	TRUE	804409	0.19370192890102	0.564005639031529	7077	439	9124	25600000	6
20220930 173139	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	251	TRUE	804409	0.0542823970289319	0.493614469114691	4174	649	9925	26310000	7
20220930 173241	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	219	TRUE	804409	0.0646923538459814	0.31213551173918	3515	313	7160	26160000	8
20220930 173308	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	804409	0.150926838457934	0.878077339278534	5050	503	7714	26020000	9
20220930 173330	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	804409	0.283063696530531	0.372993858363479	3910	383	10996	25610000	10
20220930 173358	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	108	TRUE	804409	0.154238791288168	0.931487354272977	4646	252	10320	26160000	11
20220930 173525	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	107	TRUE	804409	0.0360138450729428	0.409257367607206	995	820	7506	26190000	12
20220930 173558	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	84	TRUE	804409	0.29220143307891	0.268077548695728	3103	982	10092	24780000	13
20220930 173638	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	804409	0.227526780405839	0.339914425155148	1628	555	7836	25130000	14
20220930 174237	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1518	TRUE	804409	0.014616084607027	0.600771421045065	7795	691	10761	26640000	15
20220930 174255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	15	TRUE	804409	0.259916825165157	0.986955031529069	2694	749	9543	2.5e+07	16
20220930 174957	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	804409	0.0226749807008309	0.447546298857778	97	905	10507	26910000	17
