fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 121133	-0.0809136786090675	3351.11990176409	277.129777335183	17	5	19613333.3333333	1
20220911 121310	-0.668142900643579	2171.82689718505	363.764248606021	15	5	20253333.3333333	2
20220911 121412	-0.5925495063173	2409.64116052128	676.916211003772	7	5	19693333.3333333	3
20220911 121602	-0.97453994594689	2795.09794345529	455.424667427578	13	5	19706666.6666667	4
20220911 121643	-0.81871894414071	4368.55096312561	946.806259033474	3	5	17813333.3333333	5
20220911 121758	-0.362330540189578	3026.33169240919	133.810571408758	9	5	19400000	6
20220911 121834	0.0533233438633034	3679.36537935569	532.127389409638	14	5	-1380000	7
20220911 121946	-0.913134363546851	4562.63042926848	86.3502353041549	11	5	18066666.6666667	8
20220911 122038	-0.401724917178217	4993.26875072572	737.571810675305	20	5	18253333.3333333	9
20220911 122147	-0.546541511225223	1620.80614365164	38.5941103320802	19	5	20986666.6666667	10
20220911 122213	-0.219492740485293	3991.04454805044	573.572662436345	5	5	19040000	11
20220911 122243	0.019624800970778	4748.30509920674	5.05937476684339	17	5	-1380000	12
20220911 122337	-0.221304320534691	3584.82390087722	364.190936006838	18	5	19506666.6666667	13
20220911 122418	-0.825885029355995	2916.07261963114	603.399801108474	4	5	19880000	14
20220911 122536	-0.87854239102453	3957.15118781768	916.484520958387	19	5	19120000	15
20220911 122634	-0.536686201044358	2383.02638938115	831.999908242607	20	5	19453333.3333333	16
20220911 122734	-0.133640091574958	1944.03812811215	332.066662657705	17	5	20640000	17
20220911 122840	-0.597154479315063	4169.18079592268	101.32258631816	20	5	18626666.6666667	18
20220911 122916	-0.491893477736619	1605.58746940182	239.980591813848	7	5	20773333.3333333	19
20220911 122942	-0.553863112873652	502.882429136765	248.712959823864	4	5	20226666.6666667	20
20220911 123113	-0.455697278895099	53.8156358598235	1.47810803778515	20	5	14546666.6666667	21
20220911 123201	-0.520116527718681	3845.31370051667	1.54439337551776	6	5	18080000	22
20220911 123337	-0.541174185509527	1578.49298786424	366.737288335411	17	5	21360000	23
20220911 123515	-0.76442473917416	969.979533473552	438.575657898789	20	5	20346666.6666667	24
20220911 123644	-0.852269844730881	731.498793550834	363.992191875452	20	5	21800000	25
20220911 123907	-0.817469136377291	11.4180276111706	2.40679811498956	15	5	14160000	26
20220911 124049	-0.887113926155412	1031.38484581463	511.340981564571	20	5	19866666.6666667	27
20220911 124222	-0.847023736551515	3340.60484071319	459.648689294176	20	5	19613333.3333333	28
20220911 124259	-0.85679384588384	1368.48963548384	682.718730229981	3	5	18360000	29
20220911 124335	-0.722100892728366	2120.64084856969	625.50580037875	3	5	18413333.3333333	30
20220911 124449	-0.114688186973215	3971.34995028711	820.567170980397	20	5	19120000	31
20220911 124523	-0.121762017393173	4725.84850247979	259.002538202682	3	5	18133333.3333333	32
20220911 124602	-0.326878461139323	1926.99105572487	674.730300278613	3	5	18360000	33
20220911 124741	-0.622563199963212	944.03173946477	469.8474554	20	5	20320000	34
20220911 124817	-0.489833638337506	1981.40749529219	654.950760398398	3	5	18360000	35
20220911 124946	-0.822683022175554	1391.55966340315	694.362024251275	20	5	19946666.6666667	36
20220911 125102	-0.999912107137298	4996.58939736576	999.516093381524	20	5	18253333.3333333	37
20220911 125249	-0.0970571405872987	830.542086438411	414.716148696096	20	5	20946666.6666667	38
20220911 125407	-0.29736443606239	4994.17850228173	305.458213369922	11	5	18266666.6666667	39
20220911 125544	-0.570538440755766	1629.54993622196	237.841143095115	15	5	20813333.3333333	40
20220911 125708	-0.663303591904695	2082.59872367281	999.34019189968	20	5	19173333.3333333	41
20220911 125906	-0.999930510479343	296.509576489186	145.165362475092	20	5	20826666.6666667	42
20220911 130049	-0.999937566521273	4996.47301133854	134.325936854794	20	5	18146666.6666667	43
20220911 130238	-0.95025384086846	514.526744646156	252.487167479596	20	5	20600000	44
20220911 130315	-0.999784322180581	442.860564894757	220.743941323048	3	5	18240000	45
20220911 130350	-0.229382119308751	194.858890730598	95.8549679840717	3	5	17706666.6666667	46
20220911 130515	-0.238972450393396	2027.3579464136	999.905625061644	16	5	19173333.3333333	47
20220911 130646	-0.182404988889241	1254.34971381793	623.644658979121	20	5	19960000	48
20220911 130750	-0.100420725447821	1194.73023652802	595.778975527737	7	5	19986666.6666667	49
20220911 130847	-0.525873982513661	1233.12534000842	225.348435285249	13	5	20680000	50
20220911 130908	-0.407431418711619	3434.84668409512	336.161542678332	3	5	18186666.6666667	51
20220911 131015	-0.104413825110612	29.9548076429451	13.4934738550831	15	5	13173333.3333333	52
20220911 131107	-0.107433226012295	2674.4386112449	467.071882963576	20	5	19706666.6666667	53
20220911 131154	-0.846135586737027	1872.46435091899	358.537876878057	10	5	21053333.3333333	54
20220911 131217	-0.165613423297093	1709.09938446033	850.125193693284	3	5	18186666.6666667	55
20220911 131317	-0.822575497292998	767.691369792484	381.4801270772	16	5	21693333.3333333	56
20220911 131405	-0.557088365821578	4848.38430528942	564.851837610475	20	5	18253333.3333333	57
20220911 131458	-0.267165196877731	1507.15514857866	752.24360457604	20	5	20293333.3333333	58
20220911 131539	-0.0997799394691124	670.951019044234	333.108911381593	8	5	21560000	59
20220911 131627	-0.250203319590376	813.066157183605	405.737059705224	9	5	21546666.6666667	60
20220911 131706	-0.196120121424354	789.656123710089	394.365554573273	7	5	21640000	61
20220911 131809	-0.99978199555203	743.167129466632	365.969690011606	19	5	21920000	62
20220911 131846	-0.231040805577811	1649.29799673052	313.16154237387	7	5	21253333.3333333	63
20220911 131929	-0.328721698702899	574.074197772619	281.67407694045	8	5	21053333.3333333	64
20220911 132028	-0.374296872154378	1995.12719337247	996.872057252736	20	5	19173333.3333333	65
20220911 132131	-0.544728825272307	2042.60700431164	241.257037876381	20	5	20640000	66
20220911 132215	-0.558169790483389	1593.77698977277	410.983959244415	9	5	20520000	67
20220911 132313	-0.349173054916275	981.537275653913	489.358054688327	20	5	20266666.6666667	68
20220911 132415	-0.896168040214628	882.282818554562	354.787947791351	16	5	22053333.3333333	69
20220911 132514	-0.871788962233697	738.609191694964	365.791765313885	16	5	21800000	70
20220911 132615	-0.915056969022576	735.525016325726	366.366302145111	19	5	21760000	71
20220911 132743	-0.891748758898629	1460.92677415475	336.971615293854	19	5	2.1e+07	72
20220911 132840	-0.906175574002744	721.194194817156	358.250993210663	14	5	22093333.3333333	73
20220911 132920	-0.999879172492287	676.561420509682	334.263445737926	16	5	21146666.6666667	74
20220911 132952	-0.686800289725952	4993.79619325516	783.456122409381	20	5	18253333.3333333	75
20220911 133012	-0.58282846431029	4978.87938137487	999.9466602593	6	5	18253333.3333333	76
20220911 133046	-0.999950254733571	1405.31692319458	701.868995283659	20	5	2e+07	77
20220911 133121	-0.213846437706028	646.257234686408	322.730367519446	12	5	21720000	78
20220911 133201	-0.272869141684465	598.259377467612	296.47437934974	20	5	21293333.3333333	79
20220911 133239	-0.28720874597237	714.768617939211	353.722019685122	14	5	21813333.3333333	80
20220911 133256	-0.895817207140579	768.717723411836	374.69673857382	4	5	20253333.3333333	81
20220911 133337	-0.490652513762391	908.790823004402	397.161946630879	18	5	21520000	82
20220911 133426	-0.580378649362703	172.772079875415	85.4894568935674	20	5	20200000	83
20220911 133459	-0.273115347084743	558.988799341702	275.910809126727	11	5	20880000	84
20220911 133539	-0.315343753291172	720.149570117115	357.389556086255	18	5	21960000	85
20220911 133617	-0.36047357464783	919.993656371673	331.944987855283	16	5	22213333.3333333	86
20220911 133654	-0.341765797091934	1382.3600968988	328.028502471461	16	5	21466666.6666667	87
20220911 133733	-0.375728028754209	713.000956220296	351.228493641208	16	5	21666666.6666667	88
20220911 133802	-0.295103639051573	4996.36274471065	999.630176565352	20	5	18253333.3333333	89
20220911 133815	-0.0938950832550259	1704.71365079456	341.404777047702	3	5	18240000	90
20220911 133846	-0.14272115899199	670.397562930914	334.692373493925	10	5	21186666.6666667	91
20220911 133859	-0.606610952867864	1727.96393242767	38.4182248851857	3	5	17120000	92
20220911 133925	-0.796240035667076	4998.63795164538	369.714216707809	9	5	18266666.6666667	93
20220911 133951	-0.909735745752987	4999.41841377839	689.574894488049	10	5	18253333.3333333	94
20220911 134022	-0.949822780439127	2002.18278431941	998.931517145357	13	5	19173333.3333333	95
20220911 134053	-0.778265737051661	2728.89908602833	843.073737200554	14	5	19373333.3333333	96
20220911 134114	-0.360803771639585	897.136747561797	344.401138338643	6	5	21733333.3333333	97
20220911 134154	-0.565933897358986	683.483944264259	340.45687756936	20	5	21346666.6666667	98
20220911 134234	-0.357950811524368	687.790429090861	338.345389919392	20	5	21160000	99
20220911 134309	-0.361087577411875	901.095134452799	334.223039423782	13	5	21746666.6666667	100
20220911 134333	-0.901726483298004	3247.00702311544	357.390379474569	8	5	19773333.3333333	101
20220911 134402	-0.481944176144627	4089.54983830019	999.570866047424	17	5	18573333.3333333	102
20220911 134441	-0.237264247476307	789.50281302991	353.098556913429	16	5	21960000	103
20220911 134503	-0.225111117311266	656.933356107246	326.863398337919	6	5	21760000	104
20220911 134524	-0.491300629012421	715.560664130155	356.65827737353	6	5	21920000	105
20220911 134549	-0.184270303253345	3152.37964607487	277.597834799295	8	5	19813333.3333333	106
20220911 134628	-0.302855634135058	915.644051318041	317.650830449385	17	5	22360000	107
20220911 134641	-0.450377627717715	935.733925694031	312.127269834536	3	5	18240000	108
20220911 134720	-0.298100046760126	826.503613274627	408.47313605572	17	5	21453333.3333333	109
20220911 134759	-0.308801483094919	637.124348937248	313.026628027963	16	5	21773333.3333333	110
20220911 134817	-0.362646668795288	4999.38870376068	987.165116110166	5	5	18253333.3333333	111
20220911 134839	-0.132926223751784	4995.09124136023	999.434434412733	7	5	18253333.3333333	112
20220911 134918	-0.686639623881587	683.947432920374	337.714150709445	18	5	21160000	113
20220911 134942	-0.508842555766269	850.308620480081	353.986740916277	7	5	22013333.3333333	114
20220911 135021	-0.283656986935927	999.238611258402	325.483495649073	18	5	22053333.3333333	115
20220911 135106	-0.971851870288844	1691.77275694025	95.2014418033612	20	5	21520000	116
